fact_id,source,layer,lat,lon,geom_quality,area_fm_id,area_fm_nome,bairro,ano,mes,hora,dia_semana,category,orgao_responsavel,attributes_json,prov_file,prov_row_id,ingested_at
cameras:35,cameras,suporte,-22.9100762,-43.17624,ok,20,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia,,,,,,camera,,"{""id_ponto"": ""bd259398-d1d5-453b-9999-5ee1530e67ec"", ""id_trecho"": ""46568"", ""nome_area_fm"": ""Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia""}",cameras_areas_fm.csv,35,2026-05-24T15:59:59+00:00
cameras:36,cameras,suporte,-22.9116939,-43.1760764,ok,20,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia,,,,,,camera,,"{""id_ponto"": ""846e8c1c-a7b2-473c-98b6-5cea3eb0c785"", ""id_trecho"": ""70357"", ""nome_area_fm"": ""Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia""}",cameras_areas_fm.csv,36,2026-05-24T15:59:59+00:00
cameras:37,cameras,suporte,-22.9086933,-43.1783543,ok,20,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia,,,,,,camera,,"{""id_ponto"": ""965de837-8ff1-499e-9d8a-baa95962afaf"", ""id_trecho"": ""70360"", ""nome_area_fm"": ""Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia""}",cameras_areas_fm.csv,37,2026-05-24T15:59:59+00:00
cameras:38,cameras,suporte,-22.9054064,-43.177536,ok,20,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia,,,,,,camera,,"{""id_ponto"": ""f0bb2487-ae85-43e2-90a6-2b7be3a037e1"", ""id_trecho"": ""72244"", ""nome_area_fm"": ""Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia""}",cameras_areas_fm.csv,38,2026-05-24T15:59:59+00:00
cameras:39,cameras,suporte,-22.9119258,-43.1759247,ok,20,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia,,,,,,camera,,"{""id_ponto"": ""925ab7e8-c7ab-4580-b687-e8a71ad1ea89"", ""id_trecho"": ""51616"", ""nome_area_fm"": ""Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia""}",cameras_areas_fm.csv,39,2026-05-24T15:59:59+00:00
cameras:40,cameras,suporte,-22.9079412,-43.1807248,ok,20,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia,,,,,,camera,,"{""id_ponto"": ""3ded976a-0257-4e4f-89a3-9a4b5ae1edc6"", ""id_trecho"": ""203721"", ""nome_area_fm"": ""Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia""}",cameras_areas_fm.csv,40,2026-05-24T15:59:59+00:00
cameras:41,cameras,suporte,-22.9076359,-43.1810552,ok,20,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia,,,,,,camera,,"{""id_ponto"": ""de911043-3541-4196-9c93-425cdb64720a"", ""id_trecho"": ""305374"", ""nome_area_fm"": ""Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia""}",cameras_areas_fm.csv,41,2026-05-24T15:59:59+00:00
cameras:42,cameras,suporte,-22.9082866,-43.1860468,ok,20,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia,,,,,,camera,,"{""id_ponto"": ""77f176d5-7bcd-48e6-95ed-b7393acd8f29"", ""id_trecho"": ""70377"", ""nome_area_fm"": ""Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia""}",cameras_areas_fm.csv,42,2026-05-24T15:59:59+00:00
cameras:43,cameras,suporte,-22.9035708,-43.187169,ok,20,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia,,,,,,camera,,"{""id_ponto"": ""63803fcd-1f9e-4e9b-8614-6a97e59aa0e1"", ""id_trecho"": ""51516"", ""nome_area_fm"": ""Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia""}",cameras_areas_fm.csv,43,2026-05-24T15:59:59+00:00
cameras:44,cameras,suporte,-22.9099887,-43.1916152,ok,20,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia,,,,,,camera,,"{""id_ponto"": ""14ff09b5-4241-4d17-870b-6104bbcf8e07"", ""id_trecho"": ""49994"", ""nome_area_fm"": ""Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia""}",cameras_areas_fm.csv,44,2026-05-24T15:59:59+00:00
cameras:45,cameras,suporte,-22.9055201,-43.1807901,ok,20,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia,,,,,,camera,,"{""id_ponto"": ""580aadfa-4737-424c-94a4-b7f831916777"", ""id_trecho"": ""63993"", ""nome_area_fm"": ""Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia""}",cameras_areas_fm.csv,45,2026-05-24T15:59:59+00:00
cameras:46,cameras,suporte,-22.9011341,-43.1790532,ok,20,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia,,,,,,camera,,"{""id_ponto"": ""e194401a-1ede-4261-a223-92e23cfe3b88"", ""id_trecho"": ""70275"", ""nome_area_fm"": ""Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia""}",cameras_areas_fm.csv,46,2026-05-24T15:59:59+00:00
cameras:47,cameras,suporte,-22.903442,-43.1798173,ok,20,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia,,,,,,camera,,"{""id_ponto"": ""d1cf6d24-fb8a-460f-95b6-45fd5b3e6cff"", ""id_trecho"": ""64693"", ""nome_area_fm"": ""Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia""}",cameras_areas_fm.csv,47,2026-05-24T15:59:59+00:00
cameras:48,cameras,suporte,-22.9053829,-43.1828403,ok,20,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia,,,,,,camera,,"{""id_ponto"": ""d13d39f1-272d-4ad2-b2f3-9540492529f3"", ""id_trecho"": ""51518"", ""nome_area_fm"": ""Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia""}",cameras_areas_fm.csv,48,2026-05-24T15:59:59+00:00
cameras:49,cameras,suporte,-22.9066617,-43.1926007,ok,20,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia,,,,,,camera,,"{""id_ponto"": ""5ec6e6ea-dff1-4ee9-860d-849e78a64af9"", ""id_trecho"": ""49996"", ""nome_area_fm"": ""Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia""}",cameras_areas_fm.csv,49,2026-05-24T15:59:59+00:00
cameras:50,cameras,suporte,-22.9049942,-43.1776866,ok,20,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia,,,,,,camera,,"{""id_ponto"": ""204c6058-2a4d-410a-a121-2405476564bb"", ""id_trecho"": ""72244"", ""nome_area_fm"": ""Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia""}",cameras_areas_fm.csv,50,2026-05-24T15:59:59+00:00
cameras:51,cameras,suporte,-22.9014525,-43.1790738,ok,20,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia,,,,,,camera,,"{""id_ponto"": ""901f83a1-d861-40bd-8cdd-835a3cf3df4c"", ""id_trecho"": ""51538"", ""nome_area_fm"": ""Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia""}",cameras_areas_fm.csv,51,2026-05-24T15:59:59+00:00
cameras:52,cameras,suporte,-22.9068656,-43.1969628,ok,20,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia,,,,,,camera,,"{""id_ponto"": ""96ab3c53-5ac4-4d00-9e34-af77165c8cb1"", ""id_trecho"": ""99881"", ""nome_area_fm"": ""Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia""}",cameras_areas_fm.csv,52,2026-05-24T15:59:59+00:00
cameras:53,cameras,suporte,-22.9070975,-43.181996,ok,20,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia,,,,,,camera,,"{""id_ponto"": ""39183e08-d271-43ae-b1af-2597643401ad"", ""id_trecho"": ""70372"", ""nome_area_fm"": ""Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia""}",cameras_areas_fm.csv,53,2026-05-24T15:59:59+00:00
