territorio_id,nome_territorio,dominio_orcrim,area_fm_ids,geom_quality,geometry_wkt
85,VILA NOSSA SENHORA DA PAZ,CV,,ok,"POLYGON ((-43.360217 -22.930152, -43.360297 -22.930409, -43.360169 -22.930612, -43.359284 -22.93116, -43.358484 -22.931417, -43.357256 -22.931798, -43.356816 -22.931422, -43.355142 -22.931595, -43.354332 -22.931605, -43.354279 -22.932045, -43.354397 -22.932084, -43.354434 -22.932731, -43.353056 -22.932554, -43.353297 -22.931961, -43.354096 -22.93203, -43.354155 -22.931575, -43.354161 -22.931378, -43.35422 -22.931348, -43.355003 -22.931437, -43.354949 -22.931076, -43.354869 -22.930661, -43.354944 -22.930474, -43.355325 -22.930508, -43.355384 -22.930513, -43.355357 -22.93036, -43.35547 -22.930301, -43.355437 -22.930177, -43.355432 -22.930004, -43.355507 -22.929861, -43.355936 -22.929604, -43.356081 -22.929807, -43.356226 -22.930113, -43.356328 -22.930296, -43.356725 -22.930192, -43.357411 -22.930059, -43.357889 -22.92998, -43.358012 -22.930044, -43.358404 -22.929945, -43.358538 -22.9299, -43.358849 -22.929797, -43.358951 -22.92998, -43.359359 -22.929841, -43.359552 -22.929777, -43.35997 -22.929658, -43.360217 -22.930152))"
87,PEQUIRI (COMPLEXO DO QUITUNGO),CV,,ok,"POLYGON ((-43.295281 -22.835226, -43.295201 -22.835681, -43.295126 -22.835646, -43.295158 -22.835533, -43.295002 -22.835493, -43.294981 -22.835652, -43.294863 -22.835637, -43.294816 -22.835506, -43.294724 -22.835486, -43.294697 -22.83537, -43.294482 -22.83532, -43.294611 -22.834915, -43.294301 -22.834799, -43.293752 -22.834727, -43.293758 -22.834434, -43.293399 -22.833617, -43.293243 -22.833506, -43.293528 -22.833573, -43.293736 -22.833891, -43.293828 -22.833886, -43.294187 -22.833649, -43.294316 -22.833802, -43.294573 -22.833891, -43.294949 -22.833832, -43.295218 -22.8343, -43.295249 -22.834406, -43.295104 -22.835103, -43.295281 -22.835226))"
88,FAVELA DA LIBERDADE,CV,,ok,"POLYGON ((-43.256956 -22.871227, -43.256613 -22.871356, -43.254899 -22.871534, -43.25451 -22.871662, -43.25425 -22.87181, -43.254075 -22.871796, -43.254531 -22.870642, -43.256162 -22.87075, -43.258243 -22.870866, -43.258184 -22.871007, -43.258024 -22.871099, -43.257626 -22.871166, -43.257294 -22.871163, -43.256956 -22.871227))"
89,BACIA DO EDEN,CV,,ok,"POLYGON ((-43.394815 -22.790742, -43.393409 -22.79187, -43.395437 -22.793967, -43.394434 -22.79459, -43.393849 -22.795243, -43.393656 -22.796875, -43.392572 -22.798457, -43.390716 -22.79727, -43.389 -22.796182, -43.387101 -22.795233, -43.387015 -22.795737, -43.386972 -22.79643, -43.385052 -22.795619, -43.382337 -22.794422, -43.382498 -22.794036, -43.381694 -22.793601, -43.383775 -22.790129, -43.384869 -22.790792, -43.385105 -22.790535, -43.388024 -22.791326, -43.388538 -22.790139, -43.390373 -22.788635, -43.391371 -22.789625, -43.392379 -22.790742, -43.393817 -22.789605, -43.394815 -22.790742))"
90,VILA DOS MINEIROS (COMPLEXO DO URUBU),CV,,ok,"POLYGON ((-43.308518 -22.874513, -43.308698 -22.875426, -43.305458 -22.876153, -43.305313 -22.876138, -43.305219 -22.876183, -43.304962 -22.876183, -43.304838 -22.876025, -43.30472 -22.875867, -43.304618 -22.875615, -43.304699 -22.875284, -43.304908 -22.875234, -43.305106 -22.87517, -43.305337 -22.875081, -43.305434 -22.875047, -43.305434 -22.874859, -43.30523 -22.874972, -43.305176 -22.874819, -43.305246 -22.874735, -43.305176 -22.874676, -43.305037 -22.87476, -43.30493 -22.874819, -43.304897 -22.874656, -43.304645 -22.874696, -43.30449 -22.874676, -43.304323 -22.874696, -43.3042 -22.874622, -43.304361 -22.874533, -43.304683 -22.874542, -43.304951 -22.874538, -43.305198 -22.874607, -43.305042 -22.874424, -43.304983 -22.874167, -43.304994 -22.873979, -43.305112 -22.873925, -43.305498 -22.874177, -43.305723 -22.874345, -43.30619 -22.874424, -43.306485 -22.874419, -43.306668 -22.874528, -43.307295 -22.874281, -43.308432 -22.87342, -43.308518 -22.874513))"
91,LOTEAMENTO QUIRIRIM (COMPLEXO DA CHACRINHA),CV,,ok,"POLYGON ((-43.355033 -22.886151, -43.355082 -22.885706, -43.355345 -22.885241, -43.355543 -22.885157, -43.356321 -22.88491, -43.356723 -22.884604, -43.357582 -22.885083, -43.358279 -22.885795, -43.358268 -22.885938, -43.358499 -22.886131, -43.358783 -22.886442, -43.358687 -22.88663, -43.358376 -22.886739, -43.358118 -22.886783, -43.357861 -22.886689, -43.357512 -22.886852, -43.357041 -22.886856, -43.356784 -22.88691, -43.356618 -22.886781, -43.356349 -22.886841, -43.356026 -22.886798, -43.355935 -22.886798, -43.355752 -22.886941, -43.355561 -22.886752, -43.355314 -22.88694, -43.355033 -22.886151))"
93,GRÃO PARÁ,CV,,ok,"POLYGON ((-43.597305 -22.828602, -43.594902 -22.828127, -43.593099 -22.825556, -43.592627 -22.824251, -43.586705 -22.823934, -43.586276 -22.826426, -43.584559 -22.826228, -43.585203 -22.822431, -43.582671 -22.821284, -43.582842 -22.818792, -43.585246 -22.814757, -43.587391 -22.812502, -43.588207 -22.811355, -43.589923 -22.810762, -43.591812 -22.814164, -43.594816 -22.817091, -43.596146 -22.818357, -43.596704 -22.822906, -43.597262 -22.827019, -43.597863 -22.827454, -43.597305 -22.828602))"
94,FAVELA DO SABÃO,CV,,ok,"POLYGON ((-43.11473 -22.885941, -43.114644 -22.886299, -43.114492 -22.886645, -43.114508 -22.886672, -43.114831 -22.886764, -43.114812 -22.886843, -43.114766 -22.886836, -43.114669 -22.88691, -43.114207 -22.887276, -43.114073 -22.887142, -43.113365 -22.887755, -43.113263 -22.887656, -43.114438 -22.886678, -43.114288 -22.886544, -43.114036 -22.886752, -43.112767 -22.885877, -43.113631 -22.885108, -43.11473 -22.885941))"
96,RUA 3 ROCINHA,CV,,ok,"POLYGON ((-43.247977 -22.988359, -43.247725 -22.988567, -43.24773 -22.988666, -43.247452 -22.988603, -43.247152 -22.988746, -43.246834 -22.988725, -43.24675 -22.988578, -43.246512 -22.988453, -43.246342 -22.988396, -43.245965 -22.988389, -43.245795 -22.988694, -43.245404 -22.988529, -43.244814 -22.988238, -43.244685 -22.988094, -43.24498 -22.987902, -43.245146 -22.987917, -43.245339 -22.987778, -43.245677 -22.987843, -43.245983 -22.98764, -43.246171 -22.987611, -43.246718 -22.988011, -43.246927 -22.9881, -43.247405 -22.987897, -43.247596 -22.98787, -43.248073 -22.987964, -43.247977 -22.988359))"
98,BARBANTE,CV,,ok,"POLYGON ((-43.225582 -22.812721, -43.224295 -22.811178, -43.222235 -22.80924, -43.221419 -22.808271, -43.223544 -22.807361, -43.224745 -22.808923, -43.226398 -22.809972, -43.226827 -22.810605, -43.22717 -22.813789, -43.225582 -22.812721))"
