fact_id,source,layer,lat,lon,geom_quality,area_fm_id,area_fm_nome,bairro,ano,mes,hora,dia_semana,category,orgao_responsavel,attributes_json,prov_file,prov_row_id,ingested_at
fatores_urbanos:1648,fatores_urbanos,fator_urbano,-22.9353033,-43.1791017,ok,14,Praia de Botafogo - Rua Marquês de Abrantes,Flamengo,,,,,Vegetação encobrindo iluminação pública,COMLURB,"{""id_resposta_ocorrencia"": ""1270"", ""logradouro"": ""Rua Paissandu"", ""subarea_nome"": ""Praia de Botafogo - Rua Marquês de Abrantes"", ""valido"": null, ""tipo_pessoa_descricao"": null, ""ocupacao_drogas_descricao"": null, ""item_praca_descricao"": null}",fatores_urbanos.csv,1648,2026-05-24T15:59:59+00:00
fatores_urbanos:1649,fatores_urbanos,fator_urbano,-22.9728135,-43.225025,ok,,,Gávea,,,,,Vegetação encobrindo iluminação pública,COMLURB,"{""id_resposta_ocorrencia"": ""1579"", ""logradouro"": ""Praça Santos Dumont"", ""subarea_nome"": ""Praça Santos Dumont - Parque dos Patins"", ""valido"": ""TRUE"", ""tipo_pessoa_descricao"": null, ""ocupacao_drogas_descricao"": null, ""item_praca_descricao"": null}",fatores_urbanos.csv,1649,2026-05-24T15:59:59+00:00
fatores_urbanos:1650,fatores_urbanos,fator_urbano,-22.9865263,-43.2036657,ok,,,Ipanema,,,,,Vegetação encobrindo iluminação pública,COMLURB,"{""id_resposta_ocorrencia"": ""1584"", ""logradouro"": ""Avenida Vieira Souto"", ""subarea_nome"": ""General Osório - Nossa Senhora da Paz"", ""valido"": null, ""tipo_pessoa_descricao"": null, ""ocupacao_drogas_descricao"": null, ""item_praca_descricao"": null}",fatores_urbanos.csv,1650,2026-05-24T15:59:59+00:00
fatores_urbanos:1651,fatores_urbanos,fator_urbano,-22.9401375,-43.1784741,ok,14,Praia de Botafogo - Rua Marquês de Abrantes,Botafogo,,,,,Vegetação encobrindo iluminação pública,COMLURB,"{""id_resposta_ocorrencia"": ""1309"", ""logradouro"": ""Rua Marquês de Abrantes"", ""subarea_nome"": ""Praia de Botafogo - Rua Marquês de Abrantes"", ""valido"": ""TRUE"", ""tipo_pessoa_descricao"": null, ""ocupacao_drogas_descricao"": null, ""item_praca_descricao"": null}",fatores_urbanos.csv,1651,2026-05-24T15:59:59+00:00
fatores_urbanos:1652,fatores_urbanos,fator_urbano,-22.9858612,-43.2071916,ok,,,Ipanema,,,,,Vegetação encobrindo iluminação pública,COMLURB,"{""id_resposta_ocorrencia"": ""1200"", ""logradouro"": ""Rua Maria Quitéria"", ""subarea_nome"": ""General Osório - Nossa Senhora da Paz"", ""valido"": null, ""tipo_pessoa_descricao"": null, ""ocupacao_drogas_descricao"": null, ""item_praca_descricao"": null}",fatores_urbanos.csv,1652,2026-05-24T15:59:59+00:00
fatores_urbanos:1653,fatores_urbanos,fator_urbano,-22.9798855,-43.2182905,ok,10,Jardim de Alah,Leblon,,,,,Vegetação encobrindo iluminação pública,COMLURB,"{""id_resposta_ocorrencia"": ""1776"", ""logradouro"": ""Avenida Afrânio de Melo Franco"", ""subarea_nome"": ""Jardim de Alah"", ""valido"": ""TRUE"", ""tipo_pessoa_descricao"": null, ""ocupacao_drogas_descricao"": null, ""item_praca_descricao"": null}",fatores_urbanos.csv,1653,2026-05-24T15:59:59+00:00
fatores_urbanos:1654,fatores_urbanos,fator_urbano,-22.9581174,-43.1769661,ok,12,Rio Sul,Botafogo,,,,,Vegetação encobrindo iluminação pública,COMLURB,"{""id_resposta_ocorrencia"": ""1007"", ""logradouro"": ""Avenida Lauro Sodré"", ""subarea_nome"": ""Rio Sul"", ""valido"": null, ""tipo_pessoa_descricao"": null, ""ocupacao_drogas_descricao"": null, ""item_praca_descricao"": null}",fatores_urbanos.csv,1654,2026-05-24T15:59:59+00:00
fatores_urbanos:1655,fatores_urbanos,fator_urbano,-22.9726402,-43.2250406,ok,,,Gávea,,,,,Vegetação encobrindo iluminação pública,COMLURB,"{""id_resposta_ocorrencia"": ""1408"", ""logradouro"": ""Praça Santos Dumont"", ""subarea_nome"": ""Praça Santos Dumont - Parque dos Patins"", ""valido"": null, ""tipo_pessoa_descricao"": null, ""ocupacao_drogas_descricao"": null, ""item_praca_descricao"": null}",fatores_urbanos.csv,1655,2026-05-24T15:59:59+00:00
fatores_urbanos:1656,fatores_urbanos,fator_urbano,-22.9864979,-43.2040179,ok,,,Ipanema,,,,,Vegetação encobrindo iluminação pública,COMLURB,"{""id_resposta_ocorrencia"": ""1425"", ""logradouro"": ""Avenida Vieira Souto"", ""subarea_nome"": ""General Osório - Nossa Senhora da Paz"", ""valido"": null, ""tipo_pessoa_descricao"": null, ""ocupacao_drogas_descricao"": null, ""item_praca_descricao"": null}",fatores_urbanos.csv,1656,2026-05-24T15:59:59+00:00
fatores_urbanos:1657,fatores_urbanos,fator_urbano,-22.9836773,-43.2165694,ok,10,Jardim de Alah,Leblon,,,,,Vegetação encobrindo iluminação pública,COMLURB,"{""id_resposta_ocorrencia"": ""1781"", ""logradouro"": ""Avenida Ataulfo de Paiva"", ""subarea_nome"": ""Jardim de Alah"", ""valido"": ""TRUE"", ""tipo_pessoa_descricao"": null, ""ocupacao_drogas_descricao"": null, ""item_praca_descricao"": null}",fatores_urbanos.csv,1657,2026-05-24T15:59:59+00:00
