area_fm_id,dia_semana,hora,qtd
11,Domingo,5,1
11,Domingo,7,1
11,Domingo,8,1
11,Domingo,10,1
11,Domingo,12,1
11,Domingo,13,1
11,Domingo,14,1
11,Domingo,15,3
11,Domingo,16,1
11,Domingo,17,3
11,Domingo,18,1
11,Domingo,19,2
11,Domingo,20,2
11,Domingo,21,2
11,Domingo,22,2
11,Domingo,23,1
11,Quarta,0,2
11,Quarta,1,1
11,Quarta,3,1
11,Quarta,4,4
11,Quarta,5,1
11,Quarta,9,1
11,Quarta,12,2
11,Quarta,13,2
11,Quarta,14,5
11,Quarta,15,2
11,Quarta,19,6
11,Quarta,20,2
11,Quarta,21,3
11,Quarta,22,4
11,Quarta,23,2
11,Quinta,0,1
11,Quinta,1,2
11,Quinta,4,1
11,Quinta,5,1
11,Quinta,6,1
11,Quinta,8,1
11,Quinta,10,2
11,Quinta,11,3
11,Quinta,12,1
11,Quinta,13,3
11,Quinta,14,3
11,Quinta,15,1
11,Quinta,16,2
11,Quinta,17,1
11,Quinta,18,2
11,Quinta,19,2
11,Quinta,20,5
11,Quinta,21,1
11,Quinta,22,4
11,Quinta,23,1
11,Segunda,1,1
11,Segunda,2,1
11,Segunda,3,1
11,Segunda,4,2
11,Segunda,5,2
11,Segunda,6,4
11,Segunda,7,2
11,Segunda,8,2
11,Segunda,9,4
11,Segunda,10,2
11,Segunda,11,1
11,Segunda,13,4
11,Segunda,14,3
11,Segunda,15,2
11,Segunda,16,1
11,Segunda,17,4
11,Segunda,18,3
11,Segunda,19,4
11,Segunda,20,4
11,Segunda,21,2
11,Segunda,22,3
11,Segunda,23,3
11,Sexta,0,5
11,Sexta,1,1
11,Sexta,2,1
11,Sexta,4,4
11,Sexta,6,2
11,Sexta,7,1
11,Sexta,8,3
11,Sexta,9,1
11,Sexta,10,1
11,Sexta,11,5
11,Sexta,12,3
11,Sexta,14,4
11,Sexta,15,1
11,Sexta,16,1
11,Sexta,17,2
11,Sexta,19,2
11,Sexta,20,4
11,Sexta,21,4
11,Sexta,22,5
11,Sexta,23,1
11,Sábado,1,4
11,Sábado,2,2
11,Sábado,4,1
11,Sábado,5,1
11,Sábado,6,2
11,Sábado,7,1
11,Sábado,10,2
11,Sábado,11,2
11,Sábado,13,1
11,Sábado,14,3
11,Sábado,16,1
11,Sábado,17,1
11,Sábado,18,5
11,Sábado,19,4
11,Sábado,20,1
11,Sábado,21,3
11,Sábado,22,2
11,Sábado,23,3
11,Terça,0,2
11,Terça,2,1
11,Terça,3,1
11,Terça,4,1
11,Terça,5,1
11,Terça,8,1
11,Terça,9,1
11,Terça,10,1
11,Terça,11,2
11,Terça,12,3
11,Terça,13,2
11,Terça,14,3
11,Terça,15,2
11,Terça,16,1
11,Terça,17,1
11,Terça,18,3
11,Terça,19,2
11,Terça,20,1
11,Terça,21,4
11,Terça,22,10
11,Terça,23,2
12,Domingo,0,2
12,Domingo,2,4
12,Domingo,3,1
12,Domingo,5,2
12,Domingo,6,2
12,Domingo,7,1
12,Domingo,8,1
12,Domingo,11,1
12,Domingo,12,1
12,Domingo,13,2
12,Domingo,14,1
12,Domingo,15,5
12,Domingo,17,4
12,Domingo,18,7
